epoch,train_loss,val_loss,val_roc_auc_score
1,0.5763789825943352,0.4582294523715973,0.8310777101975395
2,0.5537389197811455,0.6725594997406006,0.8203674808139348
3,0.5474139491056043,0.5075263381004333,0.8061331719899374
4,0.539510100380082,0.6412161588668823,0.8185046014711971
5,0.533520612552208,0.43680956959724426,0.8197146769416934
6,0.542744603496475,0.5256046056747437,0.8271768090097549
7,0.5433015143334748,0.37436750531196594,0.8442187052192466
8,0.5349731921508121,0.47933468222618103,0.8386566039338068
9,0.5265180770081783,0.7145143747329712,0.8316509038414588
10,0.524102150489906,0.4565267860889435,0.8162542856839581
11,0.5260533826341834,0.47225791215896606,0.8028160791431816
12,0.5259746316885995,0.45120444893836975,0.8284399579657994
13,0.524104035151448,0.42084798216819763,0.8168911675105351
14,0.5252936648937587,0.4264693856239319,0.8364912057234447
15,0.5224146701818343,0.4973561465740204,0.8300003184409134
16,0.5276895414184918,0.5595478415489197,0.8385982230997039
17,0.5295463830174298,0.5436676144599915,0.8377755840737084
